UPTIMENANO, Latitude, Longitude, speed, accuracy
404378845037787,35.58334521,139.48176218,0.0,14.0
404380728534173,35.58334503,139.48176377,0.0,14.0
404381728202554,35.58334515,139.48176461,0.0,14.0
404382770378335,35.58335237,139.48177201,0.0,14.0
404383825647204,35.58335064,139.48177247,0.0,14.0
404384840405368,35.58335266,139.48177182,0.0,14.0
404385884856045,35.58335158,139.48177082,0.0,13.0
404387728299510,35.5833468,139.48176918,0.0,13.0
404388854326655,35.58334709,139.48176916,0.0,13.0
404389827326042,35.5833478,139.48176937,0.0,13.0
404390846236560,35.58334854,139.48176971,0.0,13.0
404392821000286,35.5835056,139.48205783,7.7,14.0
404393755008816,35.58355157,139.48218346,9.19,15.0
404394865547877,35.58360068,139.48226935,9.16,17.0
404395859661535,35.58363343,139.48236201,9.16,20.0
404397878311147,35.58371468,139.48258798,9.79,20.0
404399728407789,35.58378696,139.48307261,13.91,15.0
404400846351425,35.58385662,139.48328166,14.34,14.0
404402833837818,35.58383074,139.48373773,15.35,15.0
404403839967801,35.58387219,139.48400647,16.93,15.0
404405858024654,35.58393521,139.48432744,16.36,19.0
404406830412796,35.58395694,139.48449056,16.54,20.0
404407835629042,35.58395899,139.48475887,17.33,19.0
404408845475133,35.5840042,139.48500977,17.99,20.0
404409870848778,35.58400653,139.48531516,19.14,18.0
404410828057324,35.5840835,139.4854832,19.04,19.0
404411858460855,35.58413609,139.48570442,19.2,20.0
404412834047514,35.58417942,139.48590689,19.27,22.0
404413820084716,35.58422101,139.48611139,19.24,24.0
404414836723407,35.5842739,139.48637309,19.91,24.0
404415875778354,35.58432092,139.4866626,20.97,21.0
404417830046361,35.58435954,139.48739487,23.35,21.0
404419772853116,35.58442256,139.48788436,23.13,21.0
404420871326932,35.58447838,139.4881937,23.59,20.0
404421840382143,35.58451596,139.4884143,23.64,18.0
404422816694891,35.5846183,139.48888505,26.15,18.0
404423822581770,35.58465532,139.48906139,24.77,18.0
404424873839890,35.58468587,139.48929385,24.33,19.0
404425831707706,35.58476219,139.48966968,25.55,19.0
404426855384900,35.5847865,139.4899367,25.38,19.0
404427865026407,35.5848125,139.49010653,24.31,19.0
404429836191285,35.58494119,139.49050883,23.13,14.0
404430866570346,35.5849937,139.49083909,23.47,15.0
404432729886677,35.58518512,139.49141414,23.59,14.0
404433729431152,35.5852617,139.49164145,23.55,14.0
404434870288192,35.58533564,139.49188307,23.45,14.0
404435865814502,35.58543914,139.49211479,23.28,14.0
404436879392427,35.58555119,139.49233532,23.32,13.0
404438735139226,35.58573078,139.49274632,22.9,14.0
404439833444583,35.5858268,139.49300139,23.04,16.0
404440836921301,35.58591443,139.49323433,23.07,17.0
404441820554440,35.58601755,139.49350811,23.58,18.0
